,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
195,3337,0.05394713221446738,841.0,1,33,27,1,0.10368451742511677,7,0,432000,20270326,1,0,1
196,1938,0.035510400918472816,4072.64,0,40,10,5,0.10368451742511677,116,0,432000,11832660,1,0,1
197,3419,0.060330275645973694,106.19,1,22,1,3,0.10368451742511677,9,0,432000,46568355,1,0,1
198,1283,0.012923242345431707,732.28,0,31,22,0,0.10053406573106269,19,0,432000,24189858,1,0,1
199,4738,0.04494848082416575,19148.68,1,45,204,8,0.10368451742511677,78,0,432000,65662545,1,1,0
200,209,0.1683912543676158,1426.83,1,23,7,11,0.08240999178398767,48,0,432000,11264551,1,0,1
201,5820,0.029833104904071775,582.98,1,21,13,0,0.027723770113945754,89,0,432000,2948602,1,0,1
202,2170,0.24062823052190938,958.41,1,34,6,0,0.10368451742511677,1,1,432000,15626,1,0,1
203,2545,0.027389035511712727,225.33,1,22,12,0,0.030672581252727454,46,0,432000,40809498,1,0,1
204,15209,0.03689315412348069,284.31,1,75,10,1,0.0473611549955041,26,0,432000,32228249,1,0,1
205,1838,0.02901395664203234,7400.0,1,49,54,0,0.10368451742511677,36,0,432000,4215124,1,1,0
206,0,0.1683912543676158,1904.94,0,40,4,0,0.10368451742511677,0,1,432000,46354931,0,0,1
207,3091,0.07685586095979094,424.32,1,49,13,42,0.058063503652028114,15,0,432000,11143078,1,0,1
208,3484,0.12817596232927234,9830.0,1,28,5,9,0.028647102684950677,55,0,432000,96598283,1,0,1
209,306,0.057475252785816326,20.0,1,20,3,0,0.03711908788666059,84,0,435600,521963,1,1,0
210,749,0.027831213523785796,62.7,1,137,9,5,0.07467723802856126,27,0,432000,45682704,1,1,0
211,2111,0.03356231851959691,56.43,1,23,5,13,0.10053406573106269,24,0,432000,114371487,1,1,0
212,0,0.1683912543676158,86.38,1,4,2,0,0.10368451742511677,87,1,432000,2,1,0,0
213,246,0.1683912543676158,3780.0,0,32,173,0,0.10368451742511677,59,0,432000,68590756,1,1,0
214,2584,0.024341663151750285,650.0,1,58,10,0,0.047055952571482804,64,0,432000,2265,1,1,0
215,5372,0.10378688500441116,265.74,0,29,1,2,0.059466878055996895,17,0,432000,13623656,1,1,0
216,1677,0.042802705824940855,611.0,1,34,58,4,0.10053406573106269,152,0,432000,8648413,1,1,0
217,7383,0.018045005153058118,1135.86,0,24,41,1,0.10368451742511677,40,0,432000,33180543,1,1,0
218,3935,0.033899753887381555,1427.45,1,40,9,15,0.07789245853069877,63,0,432000,40853281,0,0,1
219,0,0.1683912543676158,0.0,1,42,0,0,0.10368451742511677,20,1,432000,612160,1,0,0
220,992,0.2323565114056514,651.96,1,38,4,14,0.10368451742511677,24,0,432000,68872432,1,0,1
221,14323,0.03536625764826776,27.37,0,69,1,21,0.04668790233466737,9,0,432000,27446580,1,0,1
222,3217,0.10182139344764,290.5,1,27,6,0,0.10053406573106269,39,0,432000,87468,1,0,1
223,7835,0.03484615086429744,2948.19,1,56,5,0,0.06923127190821202,39,0,432000,103418424,1,0,1
224,73,0.12817596232927234,1018.98,1,64,19,95,0.029235107831436766,85,0,432000,38843213,1,0,1
225,2223,0.023204344866875913,20.0,0,17,1,93,0.06547155884001958,28,0,432000,43623616,1,1,0
226,3038,0.07652531271376137,1710.0,1,29,66,18,0.058063503652028114,16,0,432000,52016884,1,1,0
227,5744,0.04243589656963903,174.0,1,25,27,104,0.10053406573106269,58,0,432000,126303688,1,1,0
228,1872,0.11001931677645493,144.38,1,9,4,0,0.10368451742511677,29,0,432000,2,1,0,1
229,8915,0.061580643353030345,14.64,1,33,1,1,0.031053988522423796,14,0,432000,46864474,1,0,1
