,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
3673,premium,23241,3320.0,1,64,73,5,63,0,432000,False,1,1,0
3674,premium,46,683.26,1,29,1,19,1,0,432000,False,0,0,1
3675,premium,10421,649.22,0,47,10,0,20,0,432000,False,1,0,1
3676,premium,965,128.58,1,57,2,0,50,0,432000,False,1,0,1
3677,premium,4872,792.45,1,45,5,6,33,0,432000,False,1,1,0
3678,premium,2041,290.93,1,58,8,1,62,0,432000,False,1,0,1
3679,premium,270,10314.83,0,55,504,28,22,0,432000,False,0,0,1
3680,premium,8647,390.0,0,45,26,11,51,0,432000,False,1,0,1
3681,premium,7080,24145.0,1,89,11,79,111,0,432000,False,1,0,1
3682,premium,4089,2313.2,1,9,35,0,24,0,432000,False,1,1,0
3683,premium,368,270.0,1,25,1,1233,25,0,432000,False,1,0,1
3684,premium,4603,100.99,1,33,1,7,51,0,432000,False,1,0,1
3685,fraudster,1233,529.48,1,29,2,0,4,1,432000,False,1,0,1
3686,premium,629,184.64,1,21,9,9,11,0,432000,False,1,1,0
3687,premium,3099,1300.0,1,45,10,37,31,0,432000,False,0,1,0
3688,premium,2654,238.0,1,14,4,0,9,0,432000,False,1,0,1
3689,premium,5134,2600.62,1,33,58,0,101,0,432000,False,1,0,1
3690,premium,336,9818.32,1,30,21,0,32,0,432000,False,0,0,1
3691,premium,2338,206.28,1,32,12,3,13,0,432000,False,1,0,1
3692,premium,1844,59125.43,1,15,67,8,336,0,432000,False,1,0,1
3693,premium,692,2016.0,1,28,79,0,96,0,432000,False,1,1,0
3694,fraudster,2474,1266.64,1,31,1,0,1,1,432000,False,1,0,1
3695,premium,1787,10160.0,0,49,77,1,106,0,432000,False,1,1,0
3696,premium,2452,1935.0,1,37,60,0,75,0,432000,False,1,0,1
3697,premium,5128,135.99,1,33,8,1,89,0,432000,False,0,0,1
3698,premium,3982,227.55,1,28,12,8,129,0,432000,False,1,0,1
3699,premium,1507,54.67,1,28,6,0,62,0,432000,False,1,0,1
3700,premium,1299,2129.04,1,46,2,16,686,0,432000,False,0,0,1
3701,premium,1673,5050.98,1,66,43,0,81,0,432000,False,0,0,1
3702,premium,1767,10800.0,0,65,24,2,129,0,432000,False,1,1,0
3703,premium,2147,161.56,1,33,5,0,52,0,432000,False,1,0,1
3704,premium,1618,234.77,1,31,8,2,19,0,432000,False,0,0,1
3705,premium,136,273.7,0,29,6,0,46,0,432000,False,1,0,1
3706,premium,464,10571.6,1,30,8,0,176,0,432000,False,1,0,1
3707,premium,959,270.0,1,22,6,1,60,0,432000,False,1,0,1
3708,premium,1233,1362.42,1,49,44,27,95,0,432000,False,1,0,1
3709,premium,7229,9495.0,1,39,411,2,55,0,432000,False,1,0,1
3710,premium,7201,1362.31,1,43,5,7,39,0,432000,False,1,0,1
3711,premium,0,24.0,1,24,2,211,19,0,432000,False,1,0,1
3712,fraudster_event,105,1588.44,1,37,3,0,2,1,432000,False,0,0,1
3713,premium,4258,775.45,1,47,3,20,43,0,432000,False,1,0,1
3714,premium,1392,800.0,1,45,35,0,15,0,432000,False,1,0,1
3715,fraudster_event,2629,3290.95,1,41,3,0,11,1,432000,False,1,0,1
3716,premium,2540,443.21,1,29,27,1,67,0,432000,False,1,0,1
3717,premium,928,1127.17,1,43,26,23,87,0,432000,False,1,0,1
3718,premium,3125,2285.75,1,67,44,0,45,0,432000,False,1,0,1
3719,premium,1922,225.0,1,67,9,23,45,0,432000,False,1,0,1
3720,premium,2004,126.94,1,23,4,0,26,0,432000,False,1,0,1
3721,premium,7873,29.36,1,72,2,0,91,0,432000,False,1,0,1
3722,premium,3079,28951.36,1,41,96,2,193,0,432000,False,1,0,1
3723,premium,6501,1890.0,1,61,74,0,24,0,432000,False,1,1,0
3724,premium,542,115.4,1,17,1,11,18,0,432000,False,1,0,1
3725,premium,2112,955.44,1,50,4,1,13,0,432000,False,1,0,1
3726,premium,956,297.28,1,28,26,0,38,0,432000,False,1,0,1
3727,premium,6163,3401.5,1,46,4,6,46,0,432000,False,1,1,0
